name,price,category
Икра Global Village из кабачков 350 г,"Цена со скидкой за 1 шт.84,99 ₽","Овощи, фрукты, зелень, орехи"
Набор зелени Global Village укроп и петрушка 50 г,"69,99 ₽","Овощи, фрукты, зелень, орехи"
Малина Global Village быстрозамороженная 300 г,"Цена со скидкой за 1 шт.289,99 ₽","Овощи, фрукты, зелень, орехи"
Помидоры красные Черри Медовые 200 г,"249,99 ₽","Овощи, фрукты, зелень, орехи"
Помидоры сливовидные Flamenco красные 450 г,"219,99 ₽","Овощи, фрукты, зелень, орехи"
Фасоль Красная цена красная в собственном соку 360 г,"64,99 ₽","Овощи, фрукты, зелень, орехи"
Корень имбиря,"Цена со скидкой за 1 кг120,00 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные от Мартина отборные обжаренные с...,"Цена со скидкой за 1 шт.99,99 ₽","Овощи, фрукты, зелень, орехи"
Салатная смесь Салаты с поля рукола-радиччо-фриссе 75 г,"159,99 ₽","Овощи, фрукты, зелень, орехи"
Замороженная смесь овощная Global Village Мексиканская...,"154,99 ₽","Овощи, фрукты, зелень, орехи"
Кукуруза Global Village Selection молочной спелости без...,"Цена со скидкой за 1 шт.104,99 ₽","Овощи, фрукты, зелень, орехи"
Укроп Global Village 100 г,"Цена со скидкой за 1 шт.79,99 ₽","Овощи, фрукты, зелень, орехи"
Кукуруза Bonduelle молодая консервированная 340 г,"Цена со скидкой за 1 шт.134,99 ₽","Овощи, фрукты, зелень, орехи"
Овощная смесь Vитамин Итальянская свежезамороженная 400 г,"189,99 ₽","Овощи, фрукты, зелень, орехи"
Клюква Красная цена без косточек быстрозамороженная 300 г,"239,99 ₽","Овощи, фрукты, зелень, орехи"
Макадамия неочищенные ~200 г,"259,80 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные Mixbar жареные очищенные 70 г,"43,99 ₽","Овощи, фрукты, зелень, орехи"
Огурцы среднеплодные гладкие Global Village 600 г,"249,99 ₽","Овощи, фрукты, зелень, орехи"
Фасоль Пиканта печеная в томатном соусе 470 г,"Цена со скидкой за 1 шт.124,99 ₽","Овощи, фрукты, зелень, орехи"
"Огурцы Global Village фермерские хрустящие 1,5 кг","Цена со скидкой за 1 шт.209,99 ₽","Овощи, фрукты, зелень, орехи"
